Env,Pedigree,FW
Antalya,BGV004584,15.74
Antalya,BGV005895,7.49
Antalya,BGV005912,17.2506
Antalya,BGV006148,8.34
Antalya,BGV006175,33.90965
Antalya,BGV006225,10.6406
Antalya,BGV006229,11.5196
Antalya,BGV006230,6.06965
Antalya,BGV006231,8.82455
Antalya,BGV006232,10.088
Antalya,BGV006234,11.95005
Antalya,BGV006235,7.5196
Antalya,BGV006327,15.57995
Antalya,BGV006336,0.97005
Antalya,BGV006353,1.51995
Antalya,BGV006363,2.07995
Antalya,BGV006370,1.44005
Antalya,BGV006454,1.50995
Antalya,BGV006457,1.94
Antalya,BGV006478,1.18005
Antalya,BGV006753,9.21995
Antalya,BGV006767,6.68
Antalya,BGV006768,19.8306
Antalya,BGV006775,2.7801
Antalya,BGV006777,10.89005
Antalya,BGV006779,12.93
Antalya,BGV006792,16.70995
Antalya,BGV006806,8.34995
Antalya,BGV006825,23.54005
Antalya,BGV006828,17.01
Antalya,BGV006852,36.9414
Antalya,BGV006859,6.05005
Antalya,BGV006865,3.46
Antalya,BGV006867,9.09
Antalya,BGV006881,8.95995
Antalya,BGV006896,5.61
Antalya,BGV006899,10.2163
Antalya,BGV006901,7.64995
Antalya,BGV006904,4.5401
Antalya,BGV006906,10.3701
Antalya,BGV006907,14.51
Antalya,BGV006910,6.54005
Antalya,BGV006927,13.89995
Antalya,BGV006931,6.88
Antalya,BGV006934,20.38
Antalya,BGV007015,12.57995
Antalya,BGV007017,13.35
Antalya,BGV007023,13.7
Antalya,BGV007109,15.95995
Antalya,BGV007111,2.08655
Antalya,BGV007149,2.34
Antalya,BGV007151,2.29995
Antalya,BGV007152,2.17
Antalya,BGV007158,2.17435
Antalya,BGV007161,2.16225
Antalya,BGV007169,2.18995
Antalya,BGV007181,3.0488
Antalya,BGV007194,1.71
Antalya,BGV007198,3.04
Antalya,BGV007339,1.86
Antalya,BGV007366,2.83
Antalya,BGV007854,2.35
Antalya,BGV007857,58.38
Antalya,BGV007860,85.5475
Antalya,BGV007862,77.02835
